_Business Name,"Blue Ridge Comfort Systems, LLC"
_Owner Name,Dale
_Industry,HVAC
_Location,Columbus GA
_Month,May 2026
_Tier,growth
_Revenue,58420
_Net Income,12180
_Prior Revenue,52490
_Prior Margin,17.4
_Uncategorized,47
_Opening Cash,31640
Date,Description,Amount,Account
2026-05-03,ACH deposit · ServiceTitan payout ••••8841,14260,Synovus Checking ••••4120
2026-05-07,Carrier Enterprise · invoice #CE-20418,-3940,Synovus Checking ••••4120
2026-05-12,"Fuel · RaceTrac, Manchester Expy",-612,WEX Fleet Card ••••2207
2026-05-15,Gusto · payroll run (4 techs + 1 office),-18540,Synovus Checking ••••4120
2026-05-19,Zelle deposit · J. Hammond ••••5520,6800,Synovus Checking ••••4120
2026-05-22,Synovus Bank · monthly service charge,-29,Synovus Checking ••••4120
2026-05-26,The Home Depot #0114 · Airport Thruway,-418,Business Visa ••••6677
2026-05-02,Ferguson HVAC #4471 · counter sale,-1240,Business Visa ••••6677
2026-05-06,Cintas · uniform & mat service,-186,Business Visa ••••6677
2026-05-09,Cincinnati Insurance · GL + commercial auto,-890,Synovus Checking ••••4120
2026-05-14,ACH deposit · ServiceTitan payout ••••8841,9180,Synovus Checking ••••4120
2026-05-16,Lennox · invoice #LX-88142,-2310,Synovus Checking ••••4120
2026-05-20,"Fuel · Circle K, Buena Vista Rd",-548,WEX Fleet Card ••••2207
2026-05-23,ServiceTitan · monthly software subscription,-329,Business Visa ••••6677
2026-05-27,ACH deposit · ServiceTitan payout ••••8841,11380,Synovus Checking ••••4120
2026-05-29,Google Ads · acct ••••0931,-740,Business Visa ••••6677
2026-05-29,Gusto · payroll run (4 techs + 1 office),-18540,Synovus Checking ••••4120
2026-05-30,Transfer to Synovus Savings ••••3390 · owner,-2400,Synovus Checking ••••4120
2026-05-31,Service-van loan · Ally Financial ••••7781,-720,Synovus Checking ••••4120
