_Business Name,The Copper Skillet
_Month,May 2026
_Industry,Restaurant
Date,Description,Amount,Account
2026-05-01,Stripe payout - card sales,4120.55,Checking
2026-05-02,US Foods - food order,-1840.22,Credit Card
2026-05-02,Sysco - dry goods,-612.40,Credit Card
2026-05-03,Square payout - card sales,2890.10,Checking
2026-05-03,City Utilities - electric,-486.19,Checking
2026-05-04,Comcast Business - internet,-129.99,Credit Card
2026-05-04,Baldor - produce,-410.75,Credit Card
2026-05-05,Customer check deposit - catering,1500.00,Checking
2026-05-05,Gusto - payroll,-7820.00,Checking
2026-05-06,Samuels Seafood - fish,-735.60,Credit Card
2026-05-07,Shell - fuel,-78.40,Credit Card
2026-05-08,Stripe payout - card sales,3760.42,Checking
2026-05-09,Landlord LLC - rent,-6000.00,Checking
2026-05-09,Murray's Cheese,-318.25,Credit Card
2026-05-10,Cintas - linen & uniform,-242.00,Credit Card
2026-05-11,Toast - POS subscription,-149.00,Credit Card
2026-05-11,US Foods - food order,-1620.88,Credit Card
2026-05-12,Square payout - card sales,3155.78,Checking
2026-05-13,Ecolab - cleaning supplies,-188.50,Credit Card
2026-05-14,Klaviyo - email marketing,-95.00,Credit Card
2026-05-15,Customer check deposit - private event,2200.00,Checking
2026-05-15,Distributor - beer & wine,-1240.30,Credit Card
2026-05-16,Orkin - pest control,-120.00,Credit Card
2026-05-17,Baldor - produce,-388.90,Credit Card
2026-05-18,Google Ads,-320.00,Credit Card
2026-05-19,Stripe payout - card sales,4480.33,Checking
2026-05-19,Gusto - payroll,-7950.00,Checking
2026-05-20,Sysco - dry goods,-540.15,Credit Card
2026-05-21,Waste Mgmt - trash service,-180.00,Checking
2026-05-22,Square payout - card sales,2975.65,Checking
2026-05-22,US Foods - food order,-1755.44,Credit Card
2026-05-23,Amex - card annual fee,-95.00,Credit Card
2026-05-24,Resy - reservations,-89.00,Credit Card
2026-05-25,Samuels Seafood - shellfish,-560.10,Credit Card
2026-05-26,Stripe payout - card sales,3990.18,Checking
2026-05-27,Stripe - processing fees,-410.27,Checking
2026-05-28,QuickBooks - accounting,-80.00,Credit Card
2026-05-29,Square payout - card sales,3310.44,Checking
2026-05-29,Baldor - produce,-402.60,Credit Card
2026-05-30,City Water & Sewer,-205.33,Checking
2026-05-30,Equipment repair - hood cleaning,-300.00,Credit Card
