Account Code,Section,Category,Subcategory,Line Item,Vendor / Source,Cost Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,% of Revenue,Notes
4010,Revenue,Food Sales,Dine-In,Dine-In Food Sales,POS - Toast,Variable,206977.40,192336.57,215034.17,228091.17,254645.22,265519.23,274942.24,255467.94,236529.82,222191.35,237312.20,269073.91,2858121.22,44.19%,Primary in-house food revenue
4020,Revenue,Food Sales,Takeout,Takeout Food Sales,POS - Toast,Variable,36926.44,36584.41,41550.17,43892.78,45811.50,49441.48,51220.78,47581.46,45719.95,43975.44,44938.91,49039.83,536683.15,8.30%,
4030,Revenue,Food Sales,Delivery,1st-Party Delivery Sales,Website/App,Variable,21218.13,19732.03,21184.09,22573.07,25686.49,26399.08,27312.84,26905.39,23870.64,23961.45,24041.77,27007.84,289892.82,4.48%,
4040,Revenue,Food Sales,Delivery,3rd-Party Delivery Sales,DoorDash/UberEats/Grubhub,Variable,44643.78,42888.78,47878.71,49873.67,53976.58,53614.87,55414.81,55196.21,48878.23,48012.39,49943.33,56138.55,606459.91,9.38%,Gross before commissions
4050,Revenue,Food Sales,Catering,Catering & Off-Site Events,Catering Dept,Variable,25864.52,24721.49,27087.63,28479.43,30657.31,33870.51,33716.94,33313.12,28969.32,29388.50,29529.93,33295.62,358894.32,5.55%,
4060,Revenue,Food Sales,Private Dining,Private Dining / Banquet,Events,Variable,17725.87,16847.76,18331.07,19725.10,21397.68,22299.93,21733.34,21192.41,19541.88,18882.18,19763.63,23207.39,240648.24,3.72%,
4110,Revenue,Beverage,Beer,Beer Sales,Bar,Variable,21085.74,19696.97,22169.82,23130.86,25820.56,26095.63,26156.43,25884.31,23918.51,22649.39,24441.97,27751.85,288802.04,4.46%,
4120,Revenue,Beverage,Wine,Wine Sales,Bar,Variable,26226.88,25244.91,29410.10,30151.89,31224.52,32592.93,33357.78,34473.55,31462.17,29635.78,30263.70,34411.49,368455.70,5.70%,
4130,Revenue,Beverage,Liquor,Liquor & Cocktail Sales,Bar,Variable,33696.26,31729.93,35977.70,37998.18,38023.78,42186.54,42821.84,41955.13,36982.96,36967.60,37245.12,42362.88,457947.92,7.08%,
4140,Revenue,Beverage,N/A Bev,Non-Alcoholic Beverage Sales,Bar,Variable,11046.56,11222.93,12217.80,12395.55,13537.82,13817.23,14916.33,14734.94,12684.68,12644.80,13265.05,14163.98,156647.67,2.42%,
